stim,stim_num,stim_cat,intensity_mean,intensity_meanDiff_betweenNotes,pitch_mean,pitch_meanDiff_betweenNotes,timbre_mean,timbre_meanDiff_betweenNotes,IOI_mean,IOI_meanDiff_betweenNotes,ratio_mean,ratio_meanDiff_betweenNotes,pulseClarity,spectralFlux,recurrence,meanLenRec,maxLenRec,determinism,ampModSpectrum_peak
D1M,1,M,0.853065296800762,1.32161310755972,272.980630450493,147.747452757606,0.472057814668195,0.101026438941267,181.520833333333,84.1942829457364,0.50192440696094,0.174018896344542,0.212997615545154,0.00290539925771372,41.2377646999648,10.1382275825905,165,94.3277290424567,3.83333333333333
D2M,2,M,0.468635382134083,1.26058339972244,320.679877037093,102.093055050386,0.562606254248621,0.0805409281267144,159.205442176871,56.6463047804156,0.501327682896724,0.155187436486898,0.234605045561776,0.000938149178149406,20.8919747294677,4.39835783339955,48,82.8642714570858,2.5
D3M,3,M,0.664065572687907,1.14032342324364,345.687552087757,110.995673265436,0.586791307807299,0.102605349129917,178.788377192982,88.2128378378378,0.498019417538951,0.188405960443372,0.218289496300396,0.00022906971954049,42.7485315999687,4.56107613908873,72,89.2000820729277,2.16666666666667
D4M,4,M,0.914624873997973,1.05555504070936,226.931590332659,91.1798141358223,0.420199210788028,0.0485727204815898,200.786092214664,73.1992225461613,0.504855031352746,0.1887994306773,0.405212225063572,0.00177439478525134,29.2069079172393,6.63651315789474,94,90.2107952730757,8.16666666666667
D5M,5,M,0.636499566122423,0.924703717174337,335.220207417173,123.210224662136,0.562411134406925,0.10941751262592,161.609554597701,73.7693713450294,0.497606619194828,0.19777973788184,0.314817185427952,0.000294021364524151,13.165162537907,3.3051724137931,35,65.7182036338704,1.83333333333333
D6M,6,M,0.873715629796106,1.25315928570863,197.038092887043,69.9704944595768,0.415176974595732,0.0529675020297149,180.914583333333,41.7692307692306,0.494783948669279,0.124540088598007,0.374204474465649,0.00416753631414273,30.2959326156479,4.47180121662027,58,80.6051144811181,3.66666666666667
D7M,7,M,0.836431069172969,0.723364207740965,158.304916496321,57.0731397099969,0.385536272921273,0.0315163407690119,195.172743055556,59.4862588652483,0.499108567761709,0.140170140165223,0.214431910318138,0.00293203947389281,16.1873518125973,3.92667670566431,61,66.6031396742441,4.66666666666667
D8M,8,M,0.795603965258378,1.0394835463367,163.8225774183,50.5020561171077,0.38703141122372,0.0287863997790023,164.050531914894,63.9855072463769,0.503990205904825,0.166259210759224,0.338614124785628,0.00331471378383611,20.5936548630027,3.20576044212988,24,73.3393308694806,2.83333333333333
D9M,9,M,0.652326879872746,0.955799611935899,170.876166972909,54.7225326090394,0.391031506331482,0.0311919175208006,175.1875,92.5805555555557,0.502495463638045,0.217946416008951,0.302396344194347,0.00289501436532011,19.7399970809616,4.56094527363184,43,77.4650118827568,12.5
D10M,10,M,0.752812178782812,1.02965279072067,154.334574066664,51.1084269657717,0.364734022401088,0.0257942578610143,154.964814814815,59.1089015151516,0.502166723820501,0.162579609605228,0.438231469673827,0.00327915796220303,19.4094528453503,3.44645658063596,40,72.7749006383235,7.16666666666667
D11M,11,M,0.693585184131608,1.00693800184584,165.168349356305,32.8669467908191,0.379291708339189,0.031639942092406,168.792572463768,35.8472222222222,0.499878289462725,0.104334148400119,0.379300789611061,0.00240814339127669,20.1293520742945,3.28514393780206,31,69.6221415688807,5
D12M,12,M,0.842633007654005,0.899687364638347,161.46854441779,23.8761041656326,0.386332813831338,0.0330491025238229,166.025550314465,54.3201121794871,0.496855024470613,0.173992524150502,0.320403172242192,0.00289113549106848,25.2972583926381,3.66954715969989,32,79.5166206996661,3.33333333333333
D13M,13,M,0.769221970460522,1.05834201559452,135.790264686017,34.5768163638238,0.365588083273359,0.0271113894104666,147.416232638889,69.9915780141846,0.499269031969018,0.188767420731949,0.27944615438129,0.00317660131951241,22.9837138737775,2.70823553423819,16,65.6702383014526,3
D14M,14,M,0.721143947972839,0.97903692882537,164.04019582698,47.5724012830741,0.367888979711378,0.024823870358132,154.2734375,55.5101495726496,0.503874341698757,0.173422964508987,0.466190550927965,0.00106708308292334,30.2670030737881,3.82046815459989,60,79.8139471409726,8.16666666666667
D15M,15,M,0.732507822349044,1.03059917577673,161.142360172329,49.4439352135688,0.364283466899998,0.0208818090797642,182.986328125,68.0530913978495,0.505130790622402,0.16175744522197,0.363231241375681,0.00306368282757645,18.5264,3.78585334198572,43,75.5764746523879,3.16666666666667
D1s,1,S,1.00445731205165,0.702873801293875,322.848384168344,143.379002828052,0.459237946164202,0.0902950207605961,180.530487804878,114.9421875,0.494172943666632,0.222157078629264,0.129296541915915,0.00172767268800549,10.683617933449,4.62372188139059,78,63.7829705204758,4
D2s,2,S,0.976976071728746,0.792600671886109,284.932428331556,138.746715392121,0.485126880722611,0.0982267316181835,176.24537037037,111.183333333333,0.506220493983526,0.228063593263605,0.187673878888982,0.00187635922399227,10.9047635113375,3.70344162110003,53,64.7690836474096,3.5
D3s,3,S,1.14002822905315,0.748129170349325,225.810965814557,87.9852167094388,0.441480720522073,0.0753593227179405,204.042868589744,173.599673202614,0.499285459326316,0.283924117520127,0.12498524902664,0.00191785272950993,15.0899104696062,4.65429403202329,57,76.4416591246734,7.83333333333333
D4s,4,S,1.17527334567163,0.817923602790314,291.221503143825,115.121859249495,0.465194249335883,0.0971646511645807,195.182738095238,139.416053921569,0.496447879393091,0.244696935855292,0.161217041970257,0.00163455205521594,13.0541022592152,4.5268694910435,78,72.5099057248258,2.66666666666667
D5s,5,S,0.972090566427909,0.919900490196563,389.577093708778,108.849102529863,0.586458824408624,0.0933707115430791,205.499387254902,71.3743686868687,0.492549079723568,0.165693711852811,0.111680643634467,0.00175298130054715,40.0902039643781,4.56014027757051,59,87.5861673617381,1.83333333333333
D6s,6,S,1.06027909955858,0.997625227898946,194.588995673216,69.8730296758495,0.421082576893421,0.056271246375601,314.278458049887,118.775510204082,0.501233322826987,0.148077678146778,0.20920591999954,0.00252092002591529,34.7753086419753,6.82547955510182,81,90.1938369781312,3.66666666666667
D7s,7,S,1.0585028158166,0.789762071877246,160.974009719264,53.8240742570237,0.385579065474445,0.0333808727878836,311.273611111111,247.322916666667,0.501353464904561,0.177120439253992,0.145684061838441,0.00296826864605232,30.2401902497027,5.36879432624113,49,87.3125720876586,4.33333333333333
D8s,8,S,1.07280528343743,0.873165637379487,154.163885730489,50.6668648926846,0.381604169654833,0.0352781825008771,261.306666666667,176.111979166666,0.498954775942146,0.208699541911603,0.232651265235072,0.00341658560167672,20.9940776711502,4.02842836375384,47,76.3064496389671,5.83333333333333
D9s,9,S,0.970599631518864,1.06824478901228,169.013891563506,54.2028076218383,0.389601504755473,0.0344311297948932,302.03373015873,155.697916666666,0.498653879574431,0.209580357052396,0.21272266849414,0.00348188209279577,28.9000479514092,4.46369995176073,64,85.295202101673,2.5
D10s,10,S,0.871032377791843,0.868459671475329,133.182944124041,38.1683983405723,0.357615865901104,0.0277075875826753,240.051339285714,137.990740740741,0.497935592936847,0.18822714592894,0.225759018076922,0.00315603357318798,18.4432857599283,4.55728200371057,47,70.1896631781977,4.5
D11s,11,S,1.05708867651114,0.904960066414467,143.23982640251,34.9719360078421,0.366693511717012,0.0274113812610287,274.610576923077,85.6458333333333,0.497364685250463,0.108505021307562,0.249372127414103,0.00302993892193603,24.1294797437673,3.91094597782496,32,74.3447162492433,5.66666666666667
D12s,12,S,1.17654471960806,0.805793777853954,161.784926902279,24.3504171502441,0.38604318570168,0.0260473338079179,441.415441176471,211.05078125,0.491692565487473,0.170740758135987,0.335577223018904,0.000988198729447626,30.8663666815746,7.72547231270358,52,87.6661491831153,3.33333333333333
D13s,13,S,0.990811194891512,0.649757004534451,134.039676781394,30.2197166386203,0.375862354803416,0.0226607091960962,321.474637681159,221.424242424242,0.500959669834712,0.206915213745679,0.197305131111168,0.00226903442510625,23.9247895500001,5.33394340419541,54,79.0432279062005,5
D14s,14,S,0.949983757778661,1.02054237054866,141.511315009377,43.5452823671693,0.356791626983158,0.0246702958449543,285.747159090909,156.423611111111,0.497098211413794,0.19786807422816,0.344415448629771,0.00308483369664288,27.6537322284031,4.98051203668323,52,87.347540544163,4.16666666666667
D15s,15,S,0.99092712918217,1.01392322176496,145.014327236013,39.0024960821736,0.375000865804323,0.0407838201561346,271.459770114943,135.527529761905,0.498645352138212,0.185181812288134,0.262521097593017,0.00279026931422125,25.4846369659275,4.60172910662824,50,79.4230290972395,2.83333333333333
